"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","stop","rt_z","ssd_z"
56,153,640.2,"Right",1,1,0,250,"Right","NoStop",0,0.771607277975343,0.435759309670453
56,154,616.7,"Left",1,1,0,250,"Left","NoStop",0,0.698989996023899,0.435759309670453
56,155,193.8,"Right",1,1,0,250,"Right","NoStop",0,-0.607812069391662,0.435759309670453
56,156,17.29999995,"Left",1,1,0,250,"Left","NoStop",0,-1.15321420845808,0.435759309670453
56,157,1251.514,"NoGo",NA,1,0,250,"NoGo","Stop",1,2.66062689920364,0.435759309670453
56,158,1200.988,"NoGo",NA,1,0,300,"NoGo","Stop",1,2.50449665291093,0.748597650703193
56,159,430.0999999,"Left",1,1,0,350,"Left","NoStop",0,0.12237787604938,1.06143599173593
56,160,301.3999999,"Right",1,0,1,350,"NoGo","Stop",1,-0.275317621276187,1.06143599173593
56,161,60.29999995,"Right",1,1,0,300,"Right","NoStop",0,-1.02034003297245,0.748597650703193
56,162,56.4000001,"Right",1,1,0,300,"Right","NoStop",0,-1.03239141121578,0.748597650703193
56,163,59.0999999,"Right",1,0,1,300,"NoGo","Stop",1,-1.02404814965214,0.748597650703193
56,164,312,"Right",1,1,0,250,"Right","NoStop",0,-0.24256259166142,0.435759309670453
56,165,343.3999999,"Right",1,1,0,250,"Right","NoStop",0,-0.145533542894883,0.435759309670453
56,166,517.1999998,"Right",1,1,0,250,"Right","NoStop",0,0.391525333526361,0.435759309670453
56,167,519.3,"Right",1,1,0,250,"Right","NoStop",0,0.398014538063445,0.435759309670453
56,168,433.8000002,"Left",1,1,0,250,"Left","NoStop",0,0.133811236262381,0.435759309670453
56,169,202.3,"Right",1,1,0,250,"Right","NoStop",0,-0.581546244004969,0.435759309670453
56,170,1251.318,"NoGo",NA,1,0,250,"NoGo","Stop",1,2.6600212401712,0.435759309670453
56,171,273.5,"Right",1,1,0,300,"Right","NoStop",0,-0.361531330177616,0.748597650703193
56,172,326.7,"Left",1,1,0,300,"Left","NoStop",0,-0.197138164227964,0.748597650703193
56,173,528.1000001,"Left",1,1,0,300,"Left","NoStop",0,0.425207392890443,0.748597650703193
56,174,474.5999999,"Right",1,1,0,300,"Right","NoStop",0,0.259887197191476,0.748597650703193
56,175,254.5999999,"Right",1,1,0,300,"Right","NoStop",0,-0.419934165758212,0.748597650703193
56,176,1201.308,"NoGo",NA,1,0,300,"NoGo","Stop",1,2.50548548398431,0.748597650703193
56,177,335.8,"Left",1,1,0,350,"Left","NoStop",0,-0.169018280578681,1.06143599173593
56,178,220.3,"Right",1,1,0,350,"Right","NoStop",0,-0.525924496127267,1.06143599173593
56,179,295,"Left",1,1,0,350,"Left","NoStop",0,-0.295094242434805,1.06143599173593
56,180,210.1000001,"Left",1,1,0,350,"Left","NoStop",0,-0.557443486282289,1.06143599173593
56,181,372.0999999,"Right",1,1,0,350,"Right","NoStop",0,-0.0568477560009922,1.06143599173593
56,182,33.5,"Right",1,1,0,350,"Right","NoStop",0,-1.10315463521364,1.06143599173593
56,183,20.79999995,"Left",1,1,0,350,"Left","NoStop",0,-1.14239886859297,1.06143599173593
56,184,337,"Right",1,1,0,350,"Right","NoStop",0,-0.165310164053501,1.06143599173593
56,185,289.4000001,"Left",1,1,0,350,"Left","NoStop",0,-0.312398785909969,1.06143599173593
56,186,317.9000001,"Left",1,1,0,350,"Left","NoStop",0,-0.224331018436941,1.06143599173593
56,187,1.799999952,"Right",1,0,1,350,"NoGo","Stop",1,-1.20111071356881,1.06143599173593
56,188,315.9000001,"Left",1,1,0,300,"Left","NoStop",0,-0.230511212645575,0.748597650703193
56,189,157,"Left",1,0,1,300,"NoGo","Stop",1,-0.721527642830519,0.748597650703193
56,190,601.7,"Left",1,1,0,250,"Left","NoStop",0,0.652638539459147,0.435759309670453
56,191,394.3999999,"Left",1,1,0,250,"Left","NoStop",0,0.0120614094252717,0.435759309670453
