"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","stop","rt_z","ssd_z"
3,"144",362,"Right",1,1,0,150,"Right","NoStop",0,-0.123831512489161,-0.173023450591161
3,"145",263.1,"Left",1,1,0,150,"Left","NoStop",0,-0.440582243683415,-0.173023450591161
3,"146",382.1,"Right",1,1,0,150,"Right","NoStop",0,-0.0594564902747574,-0.173023450591161
3,"147",319.9,"Left",1,1,0,150,"Left","NoStop",0,-0.258666758022812,-0.173023450591161
3,"148",276.8000001,"Right",1,0,1,150,"NoGo","Stop",1,-0.396704740659792,-0.173023450591161
3,"149",416.1999999,"Right",1,1,0,100,"Right","NoStop",0,0.0497568555498029,-0.611983578940828
3,"150",357.6,"Left",1,1,0,100,"Left","NoStop",0,-0.137923557153011,-0.611983578940828
3,"151",295.4000001,"Right",1,1,0,100,"Right","NoStop",0,-0.337133824580792,-0.611983578940828
3,"152",1399.34,"NoGo",NA,1,0,100,"NoGo","Stop",1,3.19849612651031,-0.611983578940828
3,"153",278,"Right",1,1,0,150,"Right","NoStop",0,-0.392861456071743,-0.173023450591161
3,"154",307.5,"Left",1,1,0,150,"Left","NoStop",0,-0.298380702075479,-0.173023450591161
3,"155",189.0999999,"Right",1,1,0,150,"Right","NoStop",0,-0.67758481335025,-0.173023450591161
3,"156",190.3,"Right",1,0,1,150,"NoGo","Stop",1,-0.673741528121653,-0.173023450591161
3,"157",330.1,"Left",1,1,0,100,"Left","NoStop",0,-0.22599883630207,-0.611983578940828
3,"158",292.7,"Left",1,1,0,100,"Left","NoStop",0,-0.345781215944791,-0.611983578940828
3,"159",282.9,"Left",1,1,0,100,"Left","NoStop",0,-0.377168042696093,-0.611983578940828
3,"160",1399.552,"NoGo",NA,1,0,100,"NoGo","Stop",1,3.19917510684412,-0.611983578940828
3,"161",1349.103,"NoGo",NA,1,0,150,"NoGo","Stop",1,3.03760020656081,-0.173023450591161
3,"162",159.6,"Right",1,1,0,200,"Right","NoStop",0,-0.77206556702624,0.265936677758507
3,"163",164.3,"Right",1,0,1,200,"NoGo","Stop",1,-0.75701270113531,0.265936677758507
3,"164",1349.367,"NoGo",NA,1,0,150,"NoGo","Stop",1,3.03844572924064,-0.173023450591161
3,"165",229.4,"Right",1,1,0,200,"Right","NoStop",0,-0.548514494858809,0.265936677758507
3,"166",1299.444,"NoGo",NA,1,0,200,"NoGo","Stop",1,2.87855546884215,0.265936677758507
3,"167",177.5,"Right",1,0,1,250,"NoGo","Stop",1,-0.714736567143761,0.704896806108174
3,"168",245.8000001,"Left",1,1,0,200,"Left","NoStop",0,-0.495989600791459,0.265936677758507
3,"169",243.5,"Left",1,1,0,200,"Left","NoStop",0,-0.503355897186018,0.265936677758507
3,"170",259.0999999,"Right",1,1,0,200,"Right","NoStop",0,-0.453393193698098,0.265936677758507
3,"171",311.6,"Left",1,1,0,200,"Left","NoStop",0,-0.28524947863871,0.265936677758507
3,"172",168.9,"Left",1,1,0,200,"Left","NoStop",0,-0.74228010898674,0.265936677758507
3,"173",197.8,"Left",1,1,0,200,"Left","NoStop",0,-0.649720997444637,0.265936677758507
3,"174",730,"Left",1,1,0,200,"Left","NoStop",0,1.05477585939644,0.265936677758507
3,"175",340.2,"Left",1,1,0,200,"Left","NoStop",0,-0.193651188323688,0.265936677758507
3,"176",1299.17,"NoGo",NA,1,0,200,"NoGo","Stop",1,2.87767791878808,0.265936677758507
3,"177",176.2,"Left",1,1,0,250,"Left","NoStop",0,-0.718900125794444,0.704896806108174
3,"178",133.6,"Left",1,1,0,250,"Left","NoStop",0,-0.855336740039896,0.704896806108174
3,"179",178,"Right",1,1,0,250,"Right","NoStop",0,-0.71313519843196,0.704896806108174
3,"180",194.6999999,"Left",1,1,0,250,"Left","NoStop",0,-0.659649483778078,0.704896806108174
3,"181",169.5,"Left",1,1,0,250,"Left","NoStop",0,-0.740358466532579,0.704896806108174
3,"182",118.9000001,"Right",1,0,1,250,"NoGo","Stop",1,-0.902416979846575,0.704896806108174
3,"183",205,"Right",1,1,0,200,"Right","NoStop",0,-0.626661287994702,0.265936677758507
3,"184",188.1999999,"Left",1,1,0,200,"Left","NoStop",0,-0.680467277031492,0.265936677758507
3,"185",175.1999999,"Left",1,1,0,200,"Left","NoStop",0,-0.72210286353832,0.265936677758507
3,"186",184,"Right",1,1,0,200,"Right","NoStop",0,-0.693918773890347,0.265936677758507
3,"187",167.7,"Right",1,0,1,200,"NoGo","Stop",1,-0.746123393895063,0.265936677758507
3,"188",246.1999999,"Left",1,0,1,150,"NoGo","Stop",1,-0.494708506462566,-0.173023450591161
3,"189",519,"Left",1,1,0,100,"Left","NoStop",0,0.37899826301638,-0.611983578940828
3,"190",1399.773,"NoGo",NA,1,0,100,"NoGo","Stop",1,3.19988291181473,-0.611983578940828
3,"191",223.4,"Right",1,1,0,150,"Right","NoStop",0,-0.567730919400422,-0.173023450591161
3,"192",1349.713,"NoGo",NA,1,0,150,"NoGo","Stop",1,3.03955387638921,-0.173023450591161
3,"193",236.8,"Left",1,1,0,200,"Left","NoStop",0,-0.524814237924153,0.265936677758507
3,"194",182.1,"Left",1,0,1,200,"NoGo","Stop",1,-0.700003974995191,0.265936677758507
3,"195",325.0999999,"Right",1,1,0,150,"Right","NoStop",0,-0.242012523740355,-0.173023450591161
3,"196",1349.748,"NoGo",NA,1,0,150,"NoGo","Stop",1,3.03966597219903,-0.173023450591161
3,"197",216.1999999,"Left",1,1,0,200,"Left","NoStop",0,-0.590790629170631,0.265936677758507
3,"198",179.9000001,"Left",1,0,1,200,"NoGo","Stop",1,-0.707049997006842,0.265936677758507
3,"199",350.4,"Left",1,1,0,150,"Left","NoStop",0,-0.160983266602946,-0.173023450591161
3,"200",204,"Left",1,1,0,150,"Left","NoStop",0,-0.629864025418304,-0.173023450591161
3,"201",212,"Left",1,0,1,150,"NoGo","Stop",1,-0.604242126029486,-0.173023450591161
3,"202",328.5,"Right",1,0,1,100,"NoGo","Stop",1,-0.231123216179834,-0.611983578940828
3,"203",382.4,"Left",1,1,0,50,"Left","NoStop",0,-0.0584956690476769,-1.05094370729049
3,"204",340.4,"Right",1,1,0,50,"Right","NoStop",0,-0.193010640838968,-1.05094370729049
3,"205",1449.672,"NoGo",NA,1,0,50,"NoGo","Stop",1,3.35969630651506,-1.05094370729049
3,"206",278.2,"Right",1,1,0,100,"Right","NoStop",0,-0.392220908587023,-0.611983578940828
3,"207",344.9,"Right",1,1,0,100,"Right","NoStop",0,-0.178598322432758,-0.611983578940828
3,"208",367.5999999,"Right",1,1,0,100,"Right","NoStop",0,-0.105896183237263,-0.611983578940828
3,"209",1399.548,"NoGo",NA,1,0,100,"NoGo","Stop",1,3.19916229589442,-0.611983578940828
3,"210",281.4,"Right",1,1,0,150,"Right","NoStop",0,-0.381972148831496,-0.173023450591161
3,"211",1349.436,"NoGo",NA,1,0,150,"NoGo","Stop",1,3.03866671812287,-0.173023450591161
3,"212",382,"Left",1,1,0,200,"Left","NoStop",0,-0.0597767640171177,0.265936677758507
3,"213",177.2,"Right",1,1,0,200,"Right","NoStop",0,-0.715697388370842,0.265936677758507
3,"214",304.5,"Left",1,1,0,200,"Left","NoStop",0,-0.307988914346286,0.265936677758507
3,"215",200.1,"Right",1,1,0,200,"Right","NoStop",0,-0.642354701370352,0.265936677758507
3,"216",197.9,"Left",1,1,0,200,"Left","NoStop",0,-0.649400723702277,0.265936677758507
3,"217",155.5,"Left",1,0,1,200,"NoGo","Stop",1,-0.785196790463009,0.265936677758507
3,"218",266.2,"Left",1,1,0,150,"Left","NoStop",0,-0.430653757670249,-0.173023450591161
3,"219",197.5,"Left",1,1,0,150,"Left","NoStop",0,-0.650681818671718,-0.173023450591161
3,"220",276.9,"Right",1,1,0,150,"Right","NoStop",0,-0.396384467237706,-0.173023450591161
3,"221",1350.279,"NoGo",NA,1,0,150,"NoGo","Stop",1,3.04136662577097,-0.173023450591161
3,"222",249.5,"Left",1,1,0,200,"Left","NoStop",0,-0.484139472644405,0.265936677758507
3,"223",160.5,"Left",1,0,1,200,"NoGo","Stop",1,-0.769183103344998,0.265936677758507
3,"224",248.5999999,"Left",1,1,0,150,"Left","NoStop",0,-0.487021936645921,-0.173023450591161
3,"225",1349.489,"NoGo",NA,1,0,150,"NoGo","Stop",1,3.03883646320632,-0.173023450591161
3,"226",375,"Left",1,1,0,200,"Left","NoStop",0,-0.0821959259823328,0.265936677758507
3,"227",272.5999999,"Right",1,1,0,200,"Right","NoStop",0,-0.410156238479469,0.265936677758507
3,"228",447.5,"Left",1,1,0,200,"Left","NoStop",0,0.150002537228824,0.265936677758507
3,"229",1299.546,"NoGo",NA,1,0,200,"NoGo","Stop",1,2.87888214805936,0.265936677758507
3,"230",153.3000001,"Left",1,1,0,250,"Left","NoStop",0,-0.79224281247466,0.704896806108174
3,"231",322.3000001,"Right",1,1,0,250,"Right","NoStop",0,-0.250980187885893,0.704896806108174
3,"232",1249.077,"NoGo",NA,0,1,250,"Right","NoStop",0,2.71724319302758,0.704896806108174
3,"233",323.8,"Right",1,1,0,250,"Right","NoStop",0,-0.246176082070764,0.704896806108174
3,"234",183.6,"Right",1,0,1,250,"NoGo","Stop",1,-0.695199868859788,0.704896806108174
3,"235",215.1,"Left",1,1,0,200,"Left","NoStop",0,-0.59431364001632,0.265936677758507
3,"236",258.0999999,"Left",1,0,1,200,"NoGo","Stop",1,-0.4565959311217,0.265936677758507
3,"237",355.7,"Right",1,1,0,150,"Right","NoStop",0,-0.144008758257855,-0.173023450591161
3,"238",1349.095,"NoGo",NA,0,1,150,"Left","NoStop",0,3.03757458466142,-0.173023450591161
3,"239",277.4,"Left",1,1,0,150,"Left","NoStop",0,-0.394783098525905,-0.173023450591161
3,"240",682.4,"Left",1,1,0,150,"Left","NoStop",0,0.902325558032974,-0.173023450591161
4,"1",36,"Right",1,1,0,250,"Right","NoStop",0,-1.16792391258347,0.704896806108174
4,"2",41.5,"Right",1,0,1,250,"NoGo","Stop",1,-1.15030885675366,0.704896806108174
4,"3",137.7,"Left",1,0,1,200,"NoGo","Stop",1,-0.842205516603128,0.265936677758507
4,"4",45.5,"Right",1,0,1,150,"Left","NoStop",0,-1.13749790705925,-0.173023450591161
4,"5",183.9,"Left",1,0,1,150,"NoGo","Stop",1,-0.694239047632707,-0.173023450591161
4,"6",314.2,"Left",1,1,0,100,"Left","NoStop",0,-0.276922361337345,-0.611983578940828
4,"7",187,"Left",1,1,0,100,"Left","NoStop",0,-0.684310561619541,-0.611983578940828
4,"8",170.1,"Left",1,0,1,100,"NoGo","Stop",1,-0.738436824078417,-0.611983578940828
4,"9",281.6,"Right",1,1,0,50,"Right","NoStop",0,-0.381331601346775,-1.05094370729049
4,"10",226.3,"Right",1,0,1,50,"Left","NoStop",0,-0.558442980871975,-1.05094370729049
4,"11",274.3,"Right",1,1,0,50,"Right","NoStop",0,-0.404711584539071,-1.05094370729049
4,"12",194.3,"Left",1,1,0,50,"Left","NoStop",0,-0.660930578427245,-1.05094370729049
4,"13",236,"Right",1,1,0,50,"Right","NoStop",0,-0.527376427863034,-1.05094370729049
4,"14",217.5,"Left",1,1,0,50,"Left","NoStop",0,-0.586627070199675,-1.05094370729049
4,"15",234.6,"Left",1,1,0,50,"Left","NoStop",0,-0.531860260256077,-1.05094370729049
4,"16",198.6,"Left",1,0,1,50,"Right","NoStop",0,-0.647158807505755,-1.05094370729049
4,"17",285.4,"Right",1,1,0,50,"Right","NoStop",0,-0.369161199137087,-1.05094370729049
4,"18",227.7,"Left",1,1,0,50,"Left","NoStop",0,-0.553959148478932,-1.05094370729049
4,"19",233.6,"Right",1,1,0,50,"Right","NoStop",0,-0.53506299767968,-1.05094370729049
4,"20",347.9,"Right",1,1,0,50,"Right","NoStop",0,-0.168990110161952,-1.05094370729049
