"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","ReflectionSum","BroodingSum","DepressiveSum","IntrusiveSum","DeliberateSum","ReappraisalSum","SuppressionSum","SSRT"
"82",96,707.9000001,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",97,409.3,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",98,298.2,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",99,278.6999998,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",100,256.3,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",101,261.5,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",102,232,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",103,320.9000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",104,760.8,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",105,316.5,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",106,516.6999998,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",107,247.8999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",108,263.6999998,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",109,250.9000001,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",110,309.3999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",111,736.4000001,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",112,741.5,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",113,757.3999999,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",114,432,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",115,741.2,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",116,319.2,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",117,699.6000001,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",118,768.5,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",119,215.0999999,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",120,261.5999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",121,357.7,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",122,293.2,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",123,238.2,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",124,292.9000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",125,315.5,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",126,279.8999999,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",127,360.3,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",128,343.3000002,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",129,317.7,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",130,252.8999999,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",131,720.6999998,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",132,412.4000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",133,744,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",134,249.8,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",135,266.7,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",136,734.5999999,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",137,287.4000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",138,297.0999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",139,289.2,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",140,330.6000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",141,333.5999999,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",142,251.6000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",143,283.8,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",144,322,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",145,327.1000001,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",146,293.8,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",147,721,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",148,767.6000001,"Right",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",149,726.7,"Left",1,0,1,50,"NoGo","Stop",11,15,27,8,15,32,18,543
"82",150,270.5,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",151,271.5,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",152,299.6000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",153,239.6000001,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",154,272.2,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",155,319.8,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
"82",156,242.1999998,"Left",1,1,0,50,"Left","NoStop",11,15,27,8,15,32,18,543
"82",157,220.9000001,"Right",1,1,0,50,"Right","NoStop",11,15,27,8,15,32,18,543
