"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task"
16,"17",1301.334,"NoGo",NA,1,0,200,"NoGo","Stop"
16,"18",102.8,"Right",1,1,0,250,"Right","NoStop"
16,"19",376.1,"Left",1,1,0,250,"Left","NoStop"
16,"20",463.7,"Right",1,1,0,250,"Right","NoStop"
16,"21",1251.272,"NoGo",NA,1,0,250,"NoGo","Stop"
16,"22",255.4000001,"Left",1,1,0,300,"Left","NoStop"
16,"23",1201.083,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"24",180.4,"Right",1,1,0,350,"Right","NoStop"
16,"25",541,"Right",1,1,0,350,"Right","NoStop"
16,"26",305.7,"Right",1,1,0,350,"Right","NoStop"
16,"27",177,"Left",1,0,1,350,"NoGo","Stop"
16,"28",340.8,"Right",1,1,0,300,"Right","NoStop"
16,"29",387.3,"Right",1,1,0,300,"Right","NoStop"
16,"30",259.6999999,"Right",1,1,0,300,"Right","NoStop"
16,"31",1201.228,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"32",129.5999999,"Right",1,1,0,350,"Right","NoStop"
16,"33",1151.172,"NoGo",NA,1,0,350,"NoGo","Stop"
16,"34",2.299999952,"Right",1,1,0,400,"Right","NoStop"
16,"35",391.8,"Left",1,1,0,400,"Left","NoStop"
16,"36",180.6,"Right",1,0,1,400,"NoGo","Stop"
16,"37",561.4,"Left",1,1,0,350,"Left","NoStop"
16,"38",395.6,"Left",1,1,0,350,"Left","NoStop"
16,"39",244.6,"Left",1,1,0,350,"Left","NoStop"
16,"40",247.9,"Right",1,0,1,350,"NoGo","Stop"
16,"41",1201.315,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"42",114.1999999,"Right",1,0,1,350,"NoGo","Stop"
16,"43",547.1999999,"Left",1,1,0,300,"Left","NoStop"
16,"44",536.4,"Left",1,1,0,300,"Left","NoStop"
16,"45",483.0999999,"Left",1,1,0,300,"Left","NoStop"
16,"46",472,"Left",1,1,0,300,"Left","NoStop"
16,"47",229.5,"Right",1,0,1,300,"NoGo","Stop"
16,"48",1251.288,"NoGo",NA,1,0,250,"NoGo","Stop"
16,"49",370.8000001,"Left",1,1,0,300,"Left","NoStop"
16,"50",390.1,"Left",1,1,0,300,"Left","NoStop"
16,"51",415.4,"Right",1,1,0,300,"Right","NoStop"
16,"52",911.5,"Right",1,1,0,300,"Right","NoStop"
16,"53",413.7,"Left",1,1,0,300,"Left","NoStop"
16,"54",380.9,"Left",1,1,0,300,"Left","NoStop"
16,"55",538.2,"Left",1,1,0,300,"Left","NoStop"
16,"56",80.5,"Right",1,0,1,300,"NoGo","Stop"
16,"57",1251.237,"NoGo",NA,1,0,250,"NoGo","Stop"
16,"58",916.4,"Right",1,1,0,300,"Right","NoStop"
16,"59",1201.324,"NoGo",NA,0,1,300,"Right","NoStop"
16,"60",102.9,"Right",1,1,0,300,"Right","NoStop"
16,"61",811.6,"Right",1,1,0,300,"Right","NoStop"
16,"62",504.6999999,"Right",1,1,0,300,"Right","NoStop"
16,"63",216.4,"Right",1,1,0,300,"Right","NoStop"
16,"64",147.9,"Left",1,1,0,300,"Left","NoStop"
16,"65",147.6999999,"Right",1,1,0,300,"Right","NoStop"
16,"66",118.3,"Right",1,1,0,300,"Right","NoStop"
16,"67",73.5,"Right",1,1,0,300,"Right","NoStop"
16,"68",62.39999998,"Right",1,0,1,300,"NoGo","Stop"
16,"69",360.8000001,"Left",1,1,0,250,"Left","NoStop"
16,"70",227.4,"Left",1,1,0,250,"Left","NoStop"
16,"71",527.4,"Left",1,1,0,250,"Left","NoStop"
16,"72",235.9,"Left",1,1,0,250,"Left","NoStop"
16,"73",229.9,"Right",1,0,1,250,"NoGo","Stop"
16,"74",696,"Right",1,1,0,200,"Right","NoStop"
16,"75",196,"Left",1,0,1,200,"NoGo","Stop"
16,"76",1351.394,"NoGo",NA,1,0,150,"NoGo","Stop"
16,"77",1301.401,"NoGo",NA,1,0,200,"NoGo","Stop"
16,"78",1251.289,"NoGo",NA,1,0,250,"NoGo","Stop"
16,"79",246.5,"Left",1,1,0,300,"Left","NoStop"
16,"80",326.5,"Left",1,1,0,300,"Left","NoStop"
16,"81",379.4,"Right",1,1,0,300,"Right","NoStop"
16,"82",416.6999999,"Left",1,1,0,300,"Left","NoStop"
16,"83",313.7,"Right",1,1,0,300,"Right","NoStop"
16,"84",87.30000007,"Left",1,1,0,300,"Left","NoStop"
16,"85",112.9,"Right",1,1,0,300,"Right","NoStop"
16,"86",83,"Left",1,0,1,300,"NoGo","Stop"
16,"87",1251.238,"NoGo",NA,1,0,250,"NoGo","Stop"
16,"88",348.5,"Right",1,1,0,300,"Right","NoStop"
16,"89",498.2,"Right",1,1,0,300,"Right","NoStop"
16,"90",336.6,"Right",1,1,0,300,"Right","NoStop"
16,"91",117,"Right",1,1,0,300,"Right","NoStop"
16,"92",398.4,"Left",1,1,0,300,"Left","NoStop"
16,"93",1201.103,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"94",164.6999999,"Left",1,0,1,350,"NoGo","Stop"
16,"95",727.6999999,"Left",1,1,0,300,"Left","NoStop"
16,"96",501.2,"Left",1,1,0,300,"Left","NoStop"
16,"97",1201.123,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"98",128.6,"Right",1,1,0,350,"Right","NoStop"
16,"99",353.7,"Right",1,1,0,350,"Right","NoStop"
16,"100",132.5,"Right",1,1,0,350,"Right","NoStop"
16,"101",328.5,"Right",1,1,0,350,"Right","NoStop"
16,"102",95.10000002,"Left",1,1,0,350,"Left","NoStop"
16,"103",246.2,"Left",1,0,1,350,"NoGo","Stop"
16,"104",317.5,"Right",1,1,0,300,"Right","NoStop"
16,"105",560.4,"Left",1,1,0,300,"Left","NoStop"
16,"106",501.0999999,"Left",1,1,0,300,"Left","NoStop"
16,"107",626.3000001,"Left",1,1,0,300,"Left","NoStop"
16,"108",432.4,"Right",1,1,0,300,"Right","NoStop"
16,"109",1201.197,"NoGo",NA,1,0,300,"NoGo","Stop"
16,"110",224.3,"Right",1,1,0,350,"Right","NoStop"
16,"111",178.5,"Left",1,1,0,350,"Left","NoStop"
16,"112",331.6999999,"Right",1,1,0,350,"Right","NoStop"
16,"113",210.3000001,"Left",1,0,1,350,"NoGo","Stop"
16,"114",397.1,"Right",1,1,0,300,"Right","NoStop"
16,"115",261,"Left",1,1,0,300,"Left","NoStop"
16,"116",679.8,"Left",1,1,0,300,"Left","NoStop"
16,"117",446.5,"Left",1,1,0,300,"Left","NoStop"
16,"118",259.2,"Right",1,1,0,300,"Right","NoStop"
