"Schedule.ID","Participant.Public.ID","Trial.Number","Reaction.Time","Response","Attempt","Correct","Incorrect","ssd","display","ANSWER","Task"
23219489,2,"112",184.6,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"113",219.7,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"114",146.7,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"115",273.5,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"116",133.4,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"117",1199.822,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23219489,2,"118",161.3,"Left",1,0,1,350,"craving","NoGo","Stop"
23219489,2,"119",231.3,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"120",220.8,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"121",419,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"122",158.5,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"123",218.2,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"124",142.5,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"125",1200.163,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23219489,2,"126",104.3,"Left",1,1,0,350,"craving","Left","NoStop"
23219489,2,"127",57.89999998,"Left",1,1,0,350,"craving","Left","NoStop"
23219489,2,"128",166,"Left",1,1,0,350,"craving","Left","NoStop"
23219489,2,"129",29.30000001,"Left",1,1,0,350,"craving","Left","NoStop"
23219489,2,"130",289.3,"Right",1,1,0,350,"craving","Right","NoStop"
23219489,2,"131",109.7,"Left",1,0,1,350,"craving","NoGo","Stop"
23219489,2,"132",263,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"133",166.6,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"134",123.9,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"135",106.9,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"136",241.8,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"137",201.1,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"138",179.5,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"139",162.5,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"140",290.3,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"141",298.9,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"142",1199.944,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23219489,2,"143",343.4,"Right",1,1,0,350,"craving","Right","NoStop"
23219489,2,"144",75.30000001,"Right",1,1,0,350,"craving","Right","NoStop"
23219489,2,"145",92.90000001,"Right",1,1,0,350,"craving","Right","NoStop"
23219489,2,"146",144.2,"Right",1,0,1,350,"craving","NoGo","Stop"
23219489,2,"147",339.9,"Right",1,0,1,300,"craving","Left","NoStop"
23219489,2,"148",226.6,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"149",284.7,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"150",292.2,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"151",228.1,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"152",253.7,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"153",807.5,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"154",278.9,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"155",196.2,"Left",1,0,1,300,"craving","NoGo","Stop"
23219489,2,"156",625.4,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"157",368.2,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"158",301,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"159",262.8,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"160",310.4,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"161",360.4,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"162",345.5,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"163",245.1,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"164",429.2,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"165",274.3,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"166",242.9,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"167",174,"Left",1,0,1,250,"craving","NoGo","Stop"
23219489,2,"168",331.8,"Right",1,1,0,200,"craving","Right","NoStop"
23219489,2,"169",337.3,"Left",1,1,0,200,"craving","Left","NoStop"
23219489,2,"170",199.1,"Right",1,1,0,200,"craving","Right","NoStop"
23219489,2,"171",185.9,"Left",1,1,0,200,"craving","Left","NoStop"
23219489,2,"172",198.7,"Left",1,0,1,200,"craving","NoGo","Stop"
23219489,2,"173",1349.893,"NoGo",NA,1,0,150,"craving","NoGo","Stop"
23219489,2,"174",211.1,"Right",1,1,0,200,"craving","Right","NoStop"
23219489,2,"175",235,"Right",1,0,1,200,"craving","NoGo","Stop"
23219489,2,"176",269.9,"Right",1,1,0,150,"craving","Right","NoStop"
23219489,2,"177",1349.838,"NoGo",NA,1,0,150,"craving","NoGo","Stop"
23219489,2,"178",247.7,"Left",1,1,0,200,"craving","Left","NoStop"
23219489,2,"179",323.6,"Right",1,1,0,200,"craving","Right","NoStop"
23219489,2,"180",1299.833,"NoGo",NA,1,0,200,"craving","NoGo","Stop"
23219489,2,"181",250.6,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"182",161.5,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"183",213.7,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"184",312.9,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"185",358.2,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"186",243.8,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"187",1249.808,"NoGo",NA,1,0,250,"craving","NoGo","Stop"
23219489,2,"188",128.2,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"189",152.8,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"190",240.5,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"191",111.5,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"192",209.5,"Right",1,0,1,300,"craving","NoGo","Stop"
23219489,2,"193",255.1,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"194",304,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"195",280.4,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"196",183.4,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"197",1249.819,"NoGo",NA,1,0,250,"craving","NoGo","Stop"
23219489,2,"198",159.6,"Right",1,0,1,300,"craving","NoGo","Stop"
23219489,2,"199",367.2,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"200",227.6,"Left",1,0,1,250,"craving","NoGo","Stop"
23219489,2,"201",1299.885,"NoGo",NA,1,0,200,"craving","NoGo","Stop"
23219489,2,"202",288.1,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"203",344.5,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"204",242.5,"Right",1,1,0,250,"craving","Right","NoStop"
